entity_id,source_file,activation_energy,atmospheric_composition,atom_type,attribute,bond_with,branch_ratio,catalyst,charge,checksum,chemical_formula,color_a,color_b,color_g,color_r,composition,compound_id,compound_type,concentration_ppm,created_timestamp,crystal_system,density_g_cm3,electron_config,element,energy_MeV,formation_condition,habitability,hardness,isotope_id,isotope_mass_number,k_equilibrium,last_modified,location,mass_amu,mineral_id,mineral_name,mohs_hardness,molecule,molecule_id,notes,param,part,percentage_crust,percentage_surface,phase,pos_x,pos_y,pos_z,pressure_GPa,pressure_atm,primary_location,products,quantity,rate_coefficient,rate_constant,reactants,reaction_id,reaction_name,relative_abundance,rot_x,rot_y,rot_z,satellites,scale_x,scale_y,scale_z,size_class,size_x,size_y,size_z,source_sink,state,state_phase,surface_features,system,tags,temp_optimal,temperature_bp_kelvin,temperature_required_MK,temperature_threshold_MK,type,unit,value,version,voxel_id
eve,eve/metadata.txt,,,,,,,,,def456ghi789...,,,,,,,,,,2026-01-08T10:30:00Z,,,,,,,,,,,,2026-01-08T15:45:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"human,entity,eve",,,,,,,,1.0,
eve,eve/physiology.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,heart_rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,circulatory,,,,,,,bpm,70,,
eve,eve/physiology.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blood_pressure_systolic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,circulatory,,,,,,,mmHg,118,,
eve,eve/physiology.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blood_pressure_diastolic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,circulatory,,,,,,,mmHg,76,,
eve,eve/physiology.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blood_volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,circulatory,,,,,,,L,4.5,,
eve,eve/physiology.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lung_capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,respiratory,,,,,,,L,5.5,,
eve,eve/physiology.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,breathing_rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,respiratory,,,,,,,breaths_per_min,11,,
eve,eve/physiology.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,oxygen_intake_rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,respiratory,,,,,,,L/min,0.23,,
eve,eve/physiology.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,co2_output_rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,respiratory,,,,,,,L/min,0.18,,
eve,eve/physiology.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stomach_volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,digestive,,,,,,,L,0.4,,
eve,eve/physiology.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stomach_calories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,digestive,,,,,,,cal,180,,
eve,eve/physiology.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nutrient_absorption_rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,digestive,,,,,,,fraction,0.75,,
eve,eve/physiology.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brain_activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nervous,,,,,,,fraction,0.88,,
eve,eve/physiology.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neural_response_time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nervous,,,,,,,s,0.18,,
eve,eve/physiology.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biceps_strength,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,muscular,,,,,,,fraction,0.65,,
eve,eve/physiology.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biceps_fatigue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,muscular,,,,,,,fraction,0.12,,
eve,eve/physiology.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quadriceps_strength,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,muscular,,,,,,,fraction,0.75,,
eve,eve/physiology.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quadriceps_fatigue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,muscular,,,,,,,fraction,0.08,,
eve,eve/physiology.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,heart_pos_x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organ,,,,,,,voxels,0,,
eve,eve/physiology.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,heart_pos_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organ,,,,,,,voxels,5,,
eve,eve/physiology.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,heart_pos_z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organ,,,,,,,voxels,0,,
eve,eve/physiology.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,heart_size_x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organ,,,,,,,voxels,0.18,,
eve,eve/physiology.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,heart_size_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organ,,,,,,,voxels,0.13,,
eve,eve/physiology.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,heart_size_z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organ,,,,,,,voxels,0.09,,
eve,eve/physiology.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,heart_function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organ,,,,,,,,circulation,,
eve,eve/physiology.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,heart_efficiency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organ,,,,,,,fraction,1.0,,
eve,eve/physiology.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,heart_health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organ,,,,,,,%,100.0,,
eve,eve/physiology.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,liver_pos_x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organ,,,,,,,voxels,0,,
eve,eve/physiology.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,liver_pos_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organ,,,,,,,voxels,4,,
eve,eve/physiology.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,liver_pos_z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organ,,,,,,,voxels,0,,
eve,eve/physiology.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,liver_size_x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organ,,,,,,,voxels,0.28,,
eve,eve/physiology.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,liver_size_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organ,,,,,,,voxels,0.18,,
eve,eve/physiology.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,liver_size_z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organ,,,,,,,voxels,0.23,,
eve,eve/physiology.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,liver_function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organ,,,,,,,,metabolism,,
eve,eve/physiology.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,liver_efficiency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organ,,,,,,,fraction,1.0,,
eve,eve/physiology.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,liver_health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organ,,,,,,,%,100.0,,
eve,eve/physiology.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stomach_pos_x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organ,,,,,,,voxels,0,,
eve,eve/physiology.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stomach_pos_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organ,,,,,,,voxels,3,,
eve,eve/physiology.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stomach_pos_z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organ,,,,,,,voxels,0,,
eve,eve/physiology.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stomach_size_x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organ,,,,,,,voxels,0.23,,
eve,eve/physiology.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stomach_size_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organ,,,,,,,voxels,0.18,,
eve,eve/physiology.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stomach_size_z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organ,,,,,,,voxels,0.18,,
eve,eve/physiology.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stomach_function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organ,,,,,,,,digestion,,
eve,eve/physiology.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stomach_efficiency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organ,,,,,,,fraction,1.0,,
eve,eve/physiology.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stomach_health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organ,,,,,,,%,100.0,,
eve,eve/physiology.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lung_left_pos_x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organ,,,,,,,voxels,-0.5,,
eve,eve/physiology.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lung_left_pos_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organ,,,,,,,voxels,4,,
eve,eve/physiology.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lung_left_pos_z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organ,,,,,,,voxels,0,,
eve,eve/physiology.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lung_left_size_x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organ,,,,,,,voxels,0.28,,
eve,eve/physiology.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lung_left_size_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organ,,,,,,,voxels,0.38,,
eve,eve/physiology.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lung_left_size_z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organ,,,,,,,voxels,0.28,,
eve,eve/physiology.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lung_left_function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organ,,,,,,,,respiration,,
eve,eve/physiology.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lung_left_efficiency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organ,,,,,,,fraction,1.0,,
eve,eve/physiology.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lung_left_health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organ,,,,,,,%,100.0,,
eve,eve/physiology.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lung_right_pos_x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,organ,,,,,,,voxels,0.5,,
