[2026-04-16 21:53:28] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-16 21:53:28] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-16 21:53:29] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-16 21:53:29] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-16 21:53:31] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-16 21:53:31] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-16 21:53:31] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-16 21:53:32] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-16 21:53:32] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-16 21:56:30] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-16 21:56:31] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-16 21:56:31] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-16 21:56:31] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-16 21:56:34] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-16 21:56:43] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-16 21:56:44] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-17 02:54:39] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-17 02:54:40] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-17 02:54:45] KeyCaptured: 49 ('1') | Source: keyboard_linux
[2026-04-17 02:54:46] KeyCaptured: 52 ('4') | Source: keyboard_linux
[2026-04-17 02:54:46] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-17 02:57:15] KeyCaptured: 50 ('2') | Source: keyboard_linux
[2026-04-17 02:57:18] KeyCaptured: 51 ('3') | Source: keyboard_linux
[2026-04-17 02:59:47] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-17 02:59:50] KeyCaptured: 49 ('1') | Source: keyboard_linux
[2026-04-17 02:59:51] KeyCaptured: 52 ('4') | Source: keyboard_linux
[2026-04-17 02:59:52] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-17 03:05:12] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-17 03:05:14] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-04-17 03:05:14] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-17 03:05:15] KeyCaptured: 49 ('1') | Source: keyboard_linux
[2026-04-17 03:05:15] KeyCaptured: 52 ('4') | Source: keyboard_linux
[2026-04-17 03:05:16] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-17 03:05:20] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-17 03:05:21] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-04-17 03:05:23] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-17 03:05:24] KeyCaptured: 104 ('h') | Source: keyboard_linux
[2026-04-17 03:05:24] KeyCaptured: 105 ('i') | Source: keyboard_linux
[2026-04-17 03:05:25] KeyCaptured: 115 ('s') | Source: keyboard_linux
[2026-04-17 03:05:25] KeyCaptured: 100 ('d') | Source: keyboard_linux
[2026-04-17 04:49:48] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-17 04:50:03] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-17 04:50:04] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-04-17 04:50:11] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-17 04:50:13] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-17 04:50:14] KeyCaptured: 104 ('h') | Source: keyboard_linux
[2026-04-17 04:50:15] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-17 04:50:16] KeyCaptured: 127 ('?') | Source: keyboard_linux
[2026-04-17 04:50:17] KeyCaptured: 127 ('?') | Source: keyboard_linux
[2026-04-17 04:50:17] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-17 04:50:18] KeyCaptured: 127 ('?') | Source: keyboard_linux
[2026-04-17 04:50:18] KeyCaptured: 127 ('?') | Source: keyboard_linux
[2026-04-17 04:50:18] KeyCaptured: 127 ('?') | Source: keyboard_linux
[2026-04-17 04:50:18] KeyCaptured: 127 ('?') | Source: keyboard_linux
[2026-04-17 04:50:19] KeyCaptured: 127 ('?') | Source: keyboard_linux
[2026-04-17 04:50:19] KeyCaptured: 105 ('i') | Source: keyboard_linux
[2026-04-17 04:50:19] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-17 05:29:41] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-17 05:29:43] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-17 05:29:43] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-17 05:29:43] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-17 05:29:44] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-17 05:29:44] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-04-17 05:29:45] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-04-17 05:29:46] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-18 03:39:42] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-18 03:39:49] KeyCaptured: 55 ('7') | Source: keyboard_linux
[2026-04-18 03:39:50] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-18 03:39:51] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-18 03:40:36] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-18 03:40:37] KeyCaptured: 55 ('7') | Source: keyboard_linux
[2026-04-18 03:40:37] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-18 03:40:38] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-18 03:41:00] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-18 03:41:01] KeyCaptured: 55 ('7') | Source: keyboard_linux
[2026-04-18 03:41:01] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-18 03:41:02] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-18 03:42:37] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-18 03:42:37] KeyCaptured: 55 ('7') | Source: keyboard_linux
[2026-04-18 03:42:38] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-18 03:42:38] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-18 03:43:43] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-18 03:43:43] KeyCaptured: 55 ('7') | Source: keyboard_linux
[2026-04-18 03:43:44] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-18 03:43:45] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-18 03:44:02] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-18 03:44:03] KeyCaptured: 55 ('7') | Source: keyboard_linux
[2026-04-18 03:44:03] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-18 03:44:05] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-20 04:55:50] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-20 04:57:14] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-04-20 04:57:18] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-20 04:59:37] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-20 05:13:37] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-20 05:13:41] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-20 05:13:41] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-20 05:13:41] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-20 05:13:41] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-20 05:13:41] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-20 05:13:41] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-20 05:13:42] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-20 05:13:42] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-20 05:13:42] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-20 05:13:42] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-20 05:13:42] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-20 05:13:42] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-20 05:13:42] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-20 05:13:42] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-20 05:13:42] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-20 05:13:42] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-20 05:21:04] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-20 05:21:06] KeyCaptured: 49 ('1') | Source: keyboard_linux
[2026-04-20 05:21:07] KeyCaptured: 54 ('6') | Source: keyboard_linux
[2026-04-20 05:21:07] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-20 05:28:45] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-20 05:28:47] KeyCaptured: 49 ('1') | Source: keyboard_linux
[2026-04-20 05:28:48] KeyCaptured: 54 ('6') | Source: keyboard_linux
[2026-04-20 05:28:49] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-20 05:31:36] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-04-20 05:31:55] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-20 05:31:56] KeyCaptured: 49 ('1') | Source: keyboard_linux
[2026-04-20 05:31:57] KeyCaptured: 54 ('6') | Source: keyboard_linux
[2026-04-20 05:31:57] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-20 05:36:26] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-04-20 05:37:03] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-20 05:37:04] KeyCaptured: 49 ('1') | Source: keyboard_linux
[2026-04-20 05:37:05] KeyCaptured: 54 ('6') | Source: keyboard_linux
[2026-04-20 05:37:05] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-20 05:49:06] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-20 05:49:07] KeyCaptured: 49 ('1') | Source: keyboard_linux
[2026-04-20 05:49:07] KeyCaptured: 54 ('6') | Source: keyboard_linux
[2026-04-20 05:49:08] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-20 05:49:10] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-20 05:49:11] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-20 05:49:11] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-04-20 15:31:26] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-20 15:31:27] KeyCaptured: 49 ('1') | Source: keyboard_linux
[2026-04-20 15:31:28] KeyCaptured: 54 ('6') | Source: keyboard_linux
[2026-04-20 15:31:28] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-20 15:31:45] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-20 15:41:07] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-20 15:41:09] KeyCaptured: 49 ('1') | Source: keyboard_linux
[2026-04-20 15:41:09] KeyCaptured: 54 ('6') | Source: keyboard_linux
[2026-04-20 15:41:09] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-20 15:41:11] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-20 15:52:45] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-20 15:52:46] KeyCaptured: 49 ('1') | Source: keyboard_linux
[2026-04-20 15:52:47] KeyCaptured: 54 ('6') | Source: keyboard_linux
[2026-04-20 15:52:47] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-20 15:52:48] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-20 15:52:57] KeyCaptured: 49 ('1') | Source: keyboard_linux
[2026-04-20 15:52:58] KeyCaptured: 97 ('a') | Source: keyboard_linux
[2026-04-20 15:52:59] KeyCaptured: 115 ('s') | Source: keyboard_linux
[2026-04-20 15:53:08] KeyCaptured: 1003 ('?') | Source: keyboard_linux
